State,Zip,District
CO,84531,01
CO,84536,01
CO,85003,07
CO,85004,07
CO,85006,07
CO,85007,07
CO,85008,07
CO,85008,09
CO,85009,07
CO,85012,07
CO,85012,09
CO,85013,07
CO,85013,09
CO,85014,07
CO,85014,09
CO,85015,07
CO,85016,06
CO,85016,07
CO,85016,09
CO,85017,07
CO,85018,06
CO,85018,07
CO,85018,09
CO,85019,07
CO,85020,06
CO,85020,09
CO,85021,06
CO,85021,07
CO,85021,09
CO,85022,06
CO,85023,06
CO,85024,06
CO,85027,06
CO,85028,06
CO,85029,06
CO,85031,07
CO,85032,06
CO,85033,03
CO,85033,07
CO,85034,07
CO,85034,09
CO,85035,07
CO,85037,03
CO,85037,07
CO,85037,08
CO,85040,07
CO,85040,09
CO,85041,07
CO,85042,07
CO,85043,03
CO,85043,07
CO,85044,07
CO,85044,09
CO,85045,09
CO,85048,07
CO,85048,09
CO,85050,06
CO,85051,06
CO,85051,07
CO,85051,09
CO,85053,06
CO,85054,06
CO,85083,06
CO,85083,08
CO,85085,06
CO,85085,08
CO,85086,06
CO,85086,08
CO,85087,04
CO,85087,06
CO,85087,08
CO,85118,04
CO,85119,04
CO,85120,04
CO,85120,05
CO,85121,01
CO,85122,01
CO,85123,01
CO,85123,03
CO,85128,01
CO,85128,04
CO,85131,01
CO,85132,01
CO,85132,04
CO,85135,01
CO,85137,01
CO,85137,04
CO,85138,01
CO,85139,01
CO,85139,03
CO,85140,04
CO,85141,01
CO,85142,04
CO,85142,05
CO,85143,04
CO,85145,01
CO,85147,01
CO,85172,01
CO,85173,01
CO,85173,04
CO,85192,01
CO,85193,01
CO,85193,03
CO,85194,01
CO,85201,05
CO,85201,06
CO,85201,09
CO,85202,09
CO,85203,05
CO,85203,06
CO,85203,09
CO,85204,05
CO,85204,09
CO,85205,05
CO,85206,05
CO,85207,04
CO,85207,05
CO,85208,05
CO,85209,05
CO,85210,05
CO,85210,09
CO,85212,05
CO,85213,05
CO,85215,04
CO,85215,05
CO,85215,06
CO,85224,05
CO,85224,09
CO,85225,05
CO,85225,09
CO,85226,01
CO,85226,09
CO,85233,05
CO,85233,09
CO,85234,05
CO,85248,01
CO,85248,05
CO,85249,05
CO,85250,06
CO,85251,06
CO,85251,09
CO,85253,06
CO,85253,09
CO,85254,06
CO,85255,06
CO,85256,06
CO,85256,09
CO,85257,06
CO,85257,09
CO,85258,06
CO,85259,06
CO,85260,06
CO,85262,04
CO,85262,06
CO,85263,04
CO,85263,06
CO,85264,04
CO,85264,06
CO,85266,06
CO,85268,06
CO,85281,06
CO,85281,07
CO,85281,09
CO,85282,07
CO,85282,09
CO,85283,07
CO,85283,09
CO,85284,09
CO,85286,05
CO,85295,05
CO,85296,05
CO,85297,05
CO,85298,05
CO,85301,06
CO,85301,07
CO,85301,08
CO,85302,06
CO,85302,08
CO,85303,07
CO,85303,08
CO,85304,08
CO,85305,03
CO,85305,07
CO,85305,08
CO,85306,08
CO,85307,03
CO,85307,08
CO,85308,06
CO,85308,08
CO,85309,08
CO,85310,06
CO,85310,08
CO,85320,04
CO,85321,03
CO,85322,03
CO,85323,03
CO,85323,07
CO,85323,08
CO,85324,04
CO,85325,04
CO,85326,03
CO,85326,04
CO,85328,04
CO,85331,04
CO,85331,06
CO,85331,08
CO,85332,04
CO,85333,03
CO,85333,04
CO,85334,04
CO,85335,08
CO,85336,03
CO,85337,03
CO,85338,03
CO,85338,08
CO,85339,01
CO,85339,03
CO,85339,07
CO,85340,03
CO,85340,04
CO,85340,08
CO,85341,03
CO,85342,04
CO,85342,08
CO,85343,03
CO,85344,04
CO,85345,08
CO,85346,04
CO,85347,03
CO,85347,04
CO,85348,04
CO,85349,03
CO,85350,03
CO,85351,08
CO,85352,04
CO,85353,03
CO,85353,07
CO,85354,03
CO,85354,04
CO,85355,04
CO,85355,08
CO,85356,04
CO,85357,04
CO,85360,04
CO,85361,04
CO,85361,08
CO,85362,04
CO,85363,08
CO,85364,03
CO,85364,04
CO,85365,03
CO,85365,04
CO,85367,04
CO,85371,04
CO,85373,08
CO,85374,08
CO,85375,08
CO,85377,06
CO,85379,08
CO,85381,08
CO,85382,08
CO,85383,04
CO,85383,08
CO,85387,04
CO,85387,08
CO,85388,04
CO,85388,08
CO,85390,04
CO,85392,03
CO,85392,08
CO,85395,03
CO,85395,08
CO,85396,03
CO,85396,04
CO,85396,08
CO,85501,01
CO,85501,04
CO,85530,01
CO,85531,01
CO,85533,01
CO,85534,01
CO,85535,01
CO,85536,01
CO,85539,01
CO,85539,04
CO,85540,01
CO,85541,04
CO,85542,01
CO,85543,01
CO,85544,04
CO,85545,01
CO,85545,04
CO,85546,01
CO,85550,01
CO,85551,01
CO,85552,01
CO,85553,01
CO,85553,04
CO,85554,01
CO,85554,04
CO,85601,03
CO,85602,02
CO,85603,02
CO,85605,02
CO,85606,02
CO,85607,02
CO,85608,02
CO,85609,02
CO,85610,02
CO,85611,02
CO,85611,03
CO,85613,02
CO,85614,02
CO,85615,02
CO,85616,02
CO,85617,02
CO,85618,01
CO,85619,01
CO,85619,02
CO,85620,02
CO,85621,03
CO,85622,02
CO,85622,03
CO,85623,01
CO,85624,03
CO,85625,02
CO,85626,02
CO,85627,02
CO,85629,02
CO,85629,03
CO,85630,02
CO,85631,01
CO,85632,02
CO,85633,03
CO,85634,03
CO,85635,02
CO,85637,02
CO,85637,03
CO,85638,02
CO,85640,03
CO,85641,02
CO,85643,01
CO,85643,02
CO,85645,02
CO,85645,03
CO,85646,03
CO,85648,03
CO,85650,02
CO,85653,01
CO,85653,03
CO,85654,01
CO,85658,01
CO,85701,03
CO,85704,01
CO,85704,02
CO,85705,02
CO,85705,03
CO,85706,02
CO,85706,03
CO,85707,02
CO,85708,02
CO,85710,02
CO,85711,02
CO,85712,02
CO,85713,02
CO,85713,03
CO,85714,02
CO,85714,03
CO,85715,02
CO,85716,02
CO,85718,01
CO,85718,02
CO,85719,02
CO,85719,03
CO,85723,03
CO,85724,03
CO,85726,03
CO,85730,02
CO,85735,03
CO,85736,03
CO,85737,01
CO,85737,02
CO,85739,01
CO,85741,01
CO,85741,02
CO,85742,01
CO,85742,02
CO,85743,01
CO,85743,02
CO,85743,03
CO,85745,02
CO,85745,03
CO,85746,03
CO,85747,02
CO,85748,02
CO,85749,02
CO,85750,02
CO,85755,01
CO,85756,02
CO,85756,03
CO,85757,03
CO,85901,01
CO,85911,01
CO,85912,01
CO,85920,01
CO,85922,01
CO,85923,01
CO,85924,01
CO,85925,01
CO,85926,01
CO,85927,01
CO,85928,01
CO,85929,01
CO,85930,01
CO,85931,01
CO,85932,01
CO,85933,01
CO,85934,01
CO,85935,01
CO,85936,01
CO,85937,01
CO,85938,01
CO,85939,01
CO,85940,01
CO,85941,01
CO,85942,01
CO,86001,01
CO,86003,01
CO,86004,01
CO,86011,01
CO,86015,01
CO,86016,01
CO,86017,01
CO,86018,01
CO,86020,01
CO,86021,04
CO,86022,01
CO,86022,04
CO,86023,01
CO,86024,01
CO,86025,01
CO,86028,01
CO,86029,01
CO,86030,01
CO,86031,01
CO,86032,01
CO,86033,01
CO,86034,01
CO,86035,01
CO,86036,01
CO,86038,01
CO,86039,01
CO,86040,01
CO,86042,01
CO,86043,01
CO,86044,01
CO,86045,01
CO,86046,01
CO,86047,01
CO,86052,01
CO,86053,01
CO,86054,01
CO,86301,04
CO,86303,04
CO,86305,04
CO,86313,04
CO,86314,04
CO,86315,04
CO,86320,01
CO,86320,04
CO,86321,04
CO,86322,01
CO,86322,04
CO,86323,04
CO,86324,01
CO,86324,04
CO,86325,01
CO,86325,04
CO,86326,01
CO,86326,04
CO,86327,01
CO,86327,04
CO,86329,04
CO,86331,04
CO,86332,04
CO,86333,04
CO,86334,04
CO,86335,01
CO,86336,01
CO,86336,04
CO,86337,01
CO,86337,04
CO,86338,04
CO,86343,04
CO,86351,01
CO,86401,04
CO,86403,04
CO,86404,04
CO,86406,04
CO,86409,04
CO,86411,01
CO,86411,04
CO,86413,04
CO,86426,04
CO,86429,04
CO,86431,04
CO,86432,04
CO,86433,04
CO,86434,01
CO,86434,04
CO,86435,01
CO,86436,04
CO,86437,04
CO,86438,04
CO,86440,04
CO,86441,04
CO,86442,04
CO,86443,04
CO,86444,01
CO,86444,04
CO,86445,04
CO,86502,01
CO,86503,01
CO,86504,01
CO,86505,01
CO,86506,01
CO,86507,01
CO,86508,01
CO,86510,01
CO,86511,01
CO,86512,01
CO,86514,01
CO,86515,01
CO,86520,01
CO,86535,01
CO,86538,01
CO,86540,01
CO,86544,01
CO,86545,01
CO,86547,01
CO,86556,01
CO,87328,01
